         72476276 function calls (68459571 primitive calls) in 36.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26257    0.017    0.000    0.025    0.000 _pvector.py:349(_mutating_fill_tail)
    98904    0.017    0.000    0.025    0.000 grid.py:405(<genexpr>)
        1    0.000    0.000    0.025    0.025 backends.py:1(<module>)
     7784    0.004    0.000    0.024    0.000 graph_to_matrix.py:87(<genexpr>)
       54    0.000    0.000    0.024    0.000 _parser.py:963(parse)
   319/54    0.001    0.000    0.024    0.000 _parser.py:452(_parse_sub)
      104    0.001    0.000    0.024    0.000 main_window.py:477(_append_worker_message)
   864/57    0.008    0.000    0.024    0.000 _parser.py:512(_parse)
      104    0.023    0.000    0.023    0.000 {method 'append' of 'PySide6.QtWidgets.QTextEdit' objects}
        2    0.000    0.000    0.023    0.011 backends.py:45(_get_backends)
        2    0.000    0.000    0.023    0.011 __init__.py:999(entry_points)
    26256    0.014    0.000    0.022    0.000 _pvector.py:118(tolist)
     2842    0.009    0.000    0.022    0.000 enum.py:239(__set_name__)
      170    0.000    0.000    0.022    0.000 __init__.py:1008(<genexpr>)
    28740    0.007    0.000    0.021    0.000 graph_to_matrix.py:855(<genexpr>)
        2    0.021    0.010    0.021    0.010 {method 'load' of 'PySide6.QtWebEngineWidgets.QWebEngineView' objects}
   244422    0.021    0.000    0.021    0.000 _pmap.py:446(<genexpr>)
    55914    0.013    0.000    0.020    0.000 grid.py:119(try_place)
     1600    0.002    0.000    0.020    0.000 move_subgraph_mutation.py:59(_place_node)
   342880    0.020    0.000    0.020    0.000 grid_entry.py:190(get_id)
    26257    0.008    0.000    0.020    0.000 _pvector.py:685(python_pvector)
   178207    0.019    0.000    0.019    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.019    0.019 factory_processor.py:1(<module>)
        3    0.019    0.006    0.019    0.006 {method 'show' of 'PySide6.QtWidgets.QWidget' objects}
