         96906572 function calls (92862053 primitive calls) in 44.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   165632    0.033    0.000    0.049    0.000 grid_entry.py:208(is_connected_to)
      374    0.000    0.000    0.047    0.000 enum.py:677(__call__)
   535109    0.046    0.000    0.046    0.000 _pvector.py:48(__len__)
      217    0.001    0.000    0.046    0.000 enum.py:824(_create_)
    26132    0.022    0.000    0.043    0.000 _pvector.py:329(append)
   154449    0.030    0.000    0.043    0.000 graph_to_matrix.py:131(__len__)
        1    0.000    0.000    0.042    0.042 __init__.py:41(_setupQtDirectories)
        1    0.001    0.001    0.042    0.042 factory_result_widget.py:1(<module>)
        1    0.000    0.000    0.040    0.040 signature_bootstrap.py:40(bootstrap)
     13/3    0.000    0.000    0.039    0.013 signature_bootstrap.py:190(exec_module)
   423657    0.038    0.000    0.038    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.038    0.038 loader.py:1(<module>)
   181484    0.038    0.000    0.038    0.000 {method 'update' of 'dict' objects}
    26131    0.011    0.000    0.037    0.000 _pvector.py:76(__iter__)
     1525    0.001    0.000    0.036    0.000 inserter_cost_aspect.py:7(evaluate)
     1525    0.001    0.000    0.035    0.000 grid.py:403(get_inserter_cost)
      568    0.001    0.000    0.035    0.000 __init__.py:330(_compile)
       54    0.000    0.000    0.034    0.001 __init__.py:287(compile)
       54    0.000    0.000    0.034    0.001 _compiler.py:757(compile)
   416046    0.034    0.000    0.034    0.000 graph_to_matrix.py:826(evaluate_borders)
     2286    0.009    0.000    0.033    0.000 grid.py:57(add_factory)
      200    0.006    0.000    0.032    0.000 topological_sort_generator.py:6(generate_random)
      201    0.002    0.000    0.032    0.000 graph_to_matrix.py:292(_place_graph_nodes)
  543/523    0.004    0.000    0.032    0.000 {built-in method builtins.__build_class__}
      228    0.004    0.000    0.031    0.000 enum.py:480(__new__)
      425    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:826(get_code)
   318110    0.031    0.000    0.031    0.000 graph_to_matrix.py:444(<lambda>)
   398081    0.030    0.000    0.030    0.000 grid_entry.py:171(is_transportation)
     7781    0.004    0.000    0.030    0.000 grid.py:133(transform_into_inserter)
    35051    0.018    0.000    0.028    0.000 graph_to_matrix.py:959(distance_between_basis_vectors)
        2    0.027    0.013    0.027    0.014 {method 'load' of 'PySide6.QtWebEngineWidgets.QWebEngineView' objects}
        1    0.000    0.000    0.026    0.026 backends.py:1(<module>)
    26132    0.018    0.000    0.026    0.000 _pvector.py:349(_mutating_fill_tail)
      104    0.001    0.000    0.026    0.000 main_window.py:477(_append_worker_message)
     7781    0.010    0.000    0.026    0.000 grid.py:123(try_transportation)
      104    0.025    0.000    0.025    0.000 {method 'append' of 'PySide6.QtWidgets.QTextEdit' objects}
     7784    0.004    0.000    0.025    0.000 graph_to_matrix.py:85(<genexpr>)
    98964    0.017    0.000    0.025    0.000 grid.py:405(<genexpr>)
       54    0.000    0.000    0.024    0.000 _parser.py:963(parse)
        3    0.024    0.008    0.024    0.008 {method 'show' of 'PySide6.QtWidgets.QWidget' objects}
   319/54    0.001    0.000    0.023    0.000 _parser.py:452(_parse_sub)
    26131    0.014    0.000    0.023    0.000 _pvector.py:118(tolist)
   864/57    0.008    0.000    0.023    0.000 _parser.py:512(_parse)
   239068    0.022    0.000    0.022    0.000 _pmap.py:446(<genexpr>)
     2842    0.009    0.000    0.021    0.000 enum.py:239(__set_name__)
    55767    0.013    0.000    0.021    0.000 grid.py:119(try_place)
        2    0.000    0.000    0.020    0.010 backends.py:45(_get_backends)
        2    0.000    0.000    0.020    0.010 __init__.py:999(entry_points)
     1600    0.002    0.000    0.020    0.000 move_subgraph_mutation.py:59(_place_node)
   343136    0.020    0.000    0.020    0.000 grid_entry.py:190(get_id)
   178223    0.020    0.000    0.020    0.000 {method 'items' of 'dict' objects}
      168    0.000    0.000    0.020    0.000 __init__.py:1008(<genexpr>)
    26132    0.008    0.000    0.020    0.000 _pvector.py:685(python_pvector)
        1    0.000    0.000    0.017    0.017 pyi_generator.py:1(<module>)
